Second City,Iconic,Comedy,,,Afternoon,Evening,"An improvisational comedy theatre troupe, Second City's talented cast creates original sketches for adult audiences.'"
Up Comedy Club,,Comedy,,,Afternoon,Evening,
Laugh Factory,,Comedy,,,Afternoon,Evening,
Zanies,,Comedy,,,Afternoon,Evening,
IO Chicago,,Comedy,,,Afternoon,Evening,
Jokes N Notes,,Comedy,,,Afternoon,Evening,
Comedy Sports,,Comedy,,,Afternoon,Evening,
The Comedy Bar,,Comedy,,,Afternoon,Evening,
Riddles Comedy Club,,Comedy,,,Afternoon,Evening,
The Annoyance Theater and Bar,,Comedy,,,Afternoon,Evening,
Lincoln Hall,,Music,Food,Bar,Evening,,
Kingston Mines,,Music,Bar,,Evening,,Kingston Mines is one of Chicago's oldest and largest blues joints where concerts and dancing don't stop until the early morning.'
The Riviera,,Music,,,Evening,,The Riviera Theatre is a concert venue popular for both local and national acts'
Andy's Jazz Club,,Music,Bar,,Evening,,
Green Mill,Iconic,Music,Bar,,Evening,,
Aragon Ballroom,,Music,,,Evening,,The Aragon Ballroom is a concert venue & event paced designed to replicate an ornate Spanish palace courtyard'
The Underground Wonderbar,,Music,Bar,,Evening,,
M Lounge,,Music,Bar,,Evening,,
The Backroom,,Music,Bar,,Evening,,
Old Town Ale House,,Bar,,,Evening,,
The Aviary,,Bar,,,Evening,,
The Map Room,Iconic,Bar,,,Evening,,
Hopleaf ,Iconic,Bar,,,Evening,,
Violet Hour,Iconic,Bar,,,Evening,,
Lost Lake,,Bar,,,Evening,,
Headquarters Beercade,,Bar,,,Evening,,
Delilah's,,Bar,Music,,Evening,,
Wildberry Pancakes & Cafe,,Food,Lunch,,,,
Birchwood Kitchen,,Food,Lunch,,,,
Over Easy Cafe,,Food,Lunch,,,,
Yolk River North,,Food,Lunch,,,,
Bite Cafe,,Food,Lunch,,,,
Bridge House Tavern,,Food,Lunch,,,,
Glazed & Infused,,Food,Lunch,,,,
Metropolis Coffee Company,,Food,Lunch,,,,
Bakin & Eggs,,Food,Lunch,,,,
Ellys Pancake House,,Food,Lunch,,,,
Big Star,,Food,Lunch,,,,
Billy Goat Tavern,,Food,Lunch,,,,
Floriole Cafe and Bakery,,Food,Lunch,,,,"Deemed one of Chicago‰Ûªs best bakeries, this Lincoln Park shop offers a rotating menu of French pastries, bread, sandwiches and salads. A perfect spot to grab breakfast or lunch.'"
Emporium,,Food,Lunch,,,,"With two locations in Wicker Park and Logan Square, this bar has nearly 40 arcade games, two dozen rotating craft beers and over 50 whiskeys. The Logan Square spot also has pool tables.'"
Harolds Chicken Shack,,Food,Lunch,,,,
