Attraction,Tag 1,Tag 2,Tag 3,Tag 4,Description,,,
Second City,Show/Theater,Nightlife,Landmark/Historic,Comedy,"An improvisational comedy theatre troupe, Second City's talented cast creates original sketches for adult audiences.",,,
Chicago Theater,Show/Theater,Iconic,Performing Arts,,"Chicago Theatre is a landmark performing arts venue for stage plays, magic shows, comedy, speeches, and popular music concerts. ",,,
The Art Institute,Museum/Gallery,Iconic,Historical,,"This art museum is the second-largest art museum in the United States most famous for its collections of Impressionist, Post-Impressionist, and American paintings.",,,
Kingston Mines (blues club),Show/Theater,Nightlife,Restaurants/Bars,Music,Kingston Mines is one of Chicago's oldest and largest blues joints where concerts and dancing don't stop until the early morning.,,,
UP Comedy Club,Comedy,Nightlife,Restaurants/Bars,,"UP Comedy club is a cabaret-style club that features live stand-up, sketch comedy & improv, plus cocktails & a full dinner menu.",,,
Chicago History Museum,Museum/Gallery,Historic,,,"This museum explores both Chicago and American history houses Chicago's most important collection of programs, publications, and online resources.",,,
Aragon Ballroom,Show/Theater,Music,Performing Arts,,The Aragon Ballroom is a concert venue & event paced designed to replicate an ornate Spanish palace courtyard,,,
The Riviera Theatre,Show/Theater,Music,Performing Arts,,The Riviera Theatre is a concert venue popular for both local and national acts,,,
National Museum of Mexican Art,Museum/Gallery,Latino,Art,,"This first Mexican cultural center in the Midwest and the largest in the nation featuring Mexican, Latino, and Chicano art and culture. ",,,
Museum of Science & Industry,Museum/Gallery,Iconic,Historical,,This museum is the largest science museum in the Western Hemisphere. It is a Chicago landmark.,,,
The Field Museum,Museum/Gallery,Science,Historical,,The Field Museum is a premier natural history museum,,,
Museum of Contemporary Art,Museum/Gallery,Art,Modern,,,,,
Oriental Institute at University of Chicago,Museum/Gallery,Historical,Art,,,,,
Block Museum of Art at Northwestern,Museum/Gallery,Art,Modern,,,,,
Peggy Notebaert Nature Museum,Museum/Gallery,Conservation,,,Environmental museum with outdoor walkways for observing local wildlife & kid-friendly exhibits,,,
Dusable Museum of African American History,Museum/Gallery,Historical,Iconic,,"The first and oldest museum dedicated to the study and conservation of African American history, culture, and art.",,,
Adler Planetarium,Museum/Gallery,Conservation,Planetarium,Science,,,,
Shedd Aquarium,Museum/Gallery,Conservation,Aquarium,Animals,,,,
900 North Michigan Shops,Shopping,Fashion,Restaurants,Mall,,,,
Gather Home + Lifestyle,Shopping,Lifestyle,,,,,,
Brimfield ,Shopping,Antique,,,,,,
Water Tower Plaza,Shopping,Mall,Restaurants,,,,,
Chinatown Bazaar,Shopping,Souvenir,,,,,,
The Shops at Roosevelt Collection,Shopping,Mall,,,The Shops at Roosevelt Collection delivers upscale retail and sophisticated urban living in the heart of Chicago's South Loop.,,,
"Fashion Outlets of Chicago (Rosemont, IL)",Shopping,Outlet,Chicagoland,Mall,,,,
"Old Orchard Mall (Skokie, IL)",Shopping,Chicagoland,Mall,Restaurants,,,,
Underground,Nightlife,Electronic,Club,,,,,
Signature Lounge,Nightlife,Cocktail Bar,Lounge,,,,,
Studio Paris,Nightlife,Club,Electronic,,,,,
Spy Bar,Nightlife,Electronic,Club,,,,,
Sound bar,Nightlife,Dance,Electronic,,,,,
The Mid,Nightlife,Concert,Electronic,,,,,
Untitled,Nightlife,Lounge,Cocktail Bar,,,,,
The Aviary,Nightlife,Cocktail Bar,,,,,,
3 Dots and a Dash,Nightlife,Cocktail Bar,Iconic,,,,,
Cuvee,Nightlife,Lounge,Club,,,,,
Cloud Gate,Landmark/Historic,Outdoors,Iconic Chicago,,"Better known as “The Bean” because of its shape, Cloud Gate is one of Chicago’s most popular attractions. Made up of 168 stainless steel plates welded together, its highly polished exterior has no visible seams, it provides tourists with a great photo opportunity with Chicago’s skyline in the background.",,,
Millennium Park,Outdoors,Show/Theater,Iconic Chicago,,"Millennium Park contains a selection of Chicago’s most iconic sights, ranging from the popular Cloud Gate to the towering Crown Fountain. When the weather is warm, you can see a free concert at the Frank Gehry–designed Pritzker Pavilion or have a picnic in the heart of the city.",,,
Museum of Science and Industry,Museum/Gallery,Landmark/Historic,Iconic Chicago,,"Originally built for the World’s Columbian Exposition in 1893, the building that houses the Museum of Science and Industry now hosts a variety of interactive exhibits that allow guests of all ages to explore scientific concepts. Popular attractions include a WWII-era German U-boat and a 40-foot-tall tornado simulator.",,,
Wrigley Field,Sports,Outdoors,Iconic Chicago,Landmark/Historic,"Located on Chicago’s northside, Wrigley Field is the second-oldest major league ballpark and has been the home to the Cub’s for 99 seasons. The surrounding neighborhood known as “Wrigleyville” offers sports fans a variety of restaurants and bars.",,,
Michigan Avenue/ The Mag Mile,Shopping,Restaurants/Bars,Nightlife,Iconic Chicago,"Chicago’s Magnificent Mile is the perfect place for a shopping experience. It boosts a variety of retail shops, designer boutiques, department stores and dining options.",,,
Symphony Center - Chicago Symphony Orchestra,Show/Theater,Nightlife,Landmark/Historic,,"Located in the heart of downtown Chicago, the Symphony center has been home to the Chicago Symphony Orchestra since 1904. It hosts some of the best musical performances in the city throughout the year. In the summer, the Orchestra also plays concerts at the Ravinia Park, an outdoor venue in Highland Park.",,,
Richard H. Driehaus Museum,Museum/Gallery,Landmark/Historic,,,"Steps away from the Mag Mile, the museum is one of Chicago’s historic treasures. Once the home of 19th-century banker, Samuel Mayo Nickerson, the galleries transports visitors back to Chicago’s Gilded Age.",,,
Lookingglass Theatre Company,Show/Theater,Landmark/Historic,Iconic Chicago,,"Located in the Water Tower Water Works right on Michigan Avenue, the theatre specializes in original shows & contemporary literary adaptations. A truly unique visual performance venue.",,,
Chicago Cultural Center,Museum/Gallery,,,,"What was formerly the Chicago Public Library, the Chicago Cultural Center offers visitors a variety of free programming, including free classical concerts, dance performances and exhibitions from local artists. It’s also worth stopping by to view the century-old building’s beautiful architectural flourishes, including the world's largest Tiffany stained-glass dome.",,,
360 Chicago,Landmark/Historic,Restaurants/Bars,Iconic Chicago,,"Formerly known as the John Hancock Observatory, 360 Chicago offers visitors with a view of up to 55 miles out and four states from 1,000 feet up on the 94th floor. The Tilt attraction, which allows visitors to step onto an enclosed platform that extends from the building at a 30 degree angle offers a stomach-dropping view of the street below.",,,
